"年度","地区","国家","服务分类","各国销售额","销售增长率","各国利润","利润增长率"
"2020","Eastern","Uganda","Residential",1802.66,1.93063029376859,68.75,-1.80956272987331
"2017","Eastern","United Republic of Tanzania","Commercial",401.85,0,4.02,0
"2018","Eastern","United Republic of Tanzania","Commercial",576.67,0.435037949483638,0.06,0.985074626865672
"2019","Eastern","United Republic of Tanzania","Commercial",1167.06,1.02379176998977,-13.62,228
"2020","Eastern","United Republic of Tanzania","Commercial",0,-1,0,1
"2017","Eastern","United Republic of Tanzania","Public",630.59,0,19.05,0
"2018","Eastern","United Republic of Tanzania","Public",507.98,-0.194436955866728,-25.02,2.31338582677165
"2019","Eastern","United Republic of Tanzania","Public",846.06,0.66553801330761,59.22,3.36690647482014
"2020","Eastern","United Republic of Tanzania","Public",0,-1,0,1
"2017","Eastern","United Republic of Tanzania","Residential",232.27,0,-2.32,0
"2018","Eastern","United Republic of Tanzania","Residential",0,-1,0,1
"2019","Eastern","United Republic of Tanzania","Residential",98.4,0,3.94,0
"2020","Eastern","United Republic of Tanzania","Residential",2096.2,20.3028455284553,-62.29,16.8096446700508
"2017","Eastern","Zambia","Commercial",222.26,0,20,0
"2018","Eastern","Zambia","Commercial",371.36,0.670835957887159,-29.71,2.4855
"2019","Eastern","Zambia","Commercial",0,-1,0,1
"2020","Eastern","Zambia","Commercial",1539.77,0,-39.97,0
"2017","Eastern","Zambia","Public",1105.65,0,-39.8,0
"2018","Eastern","Zambia","Public",0,-1,0,1
"2019","Eastern","Zambia","Public",1128.39,0,35.17,0
"2020","Eastern","Zambia","Public",84.03,-0.925531066386622,-3.08,1.08757463747512
"2017","Eastern","Zambia","Residential",627.11,0,37.63,0
"2018","Eastern","Zambia","Residential",1351.24,1.15470970005262,-26.59,1.7066170608557
"2019","Eastern","Zambia","Residential",820.85,-0.392520943725763,57.46,3.16096276795788
"2020","Eastern","Zambia","Residential",0,-1,0,1
"2017","Eastern","Zimbabwe","Commercial",231.41,0,-4.63,0
"2018","Eastern","Zimbabwe","Commercial",1734.71,6.49626204571972,5.52,2.19222462203024
"2019","Eastern","Zimbabwe","Commercial",1179.71,-0.31993820292729,-44.94,9.14130434782608
"2020","Eastern","Zimbabwe","Commercial",401.79,-0.659416297225589,0,1
"2017","Eastern","Zimbabwe","Public",0,0,0,0
"2018","Eastern","Zimbabwe","Public",979.48,0,0.69,0
"2019","Eastern","Zimbabwe","Public",574.87,-0.413086535712827,0,1
"2020","Eastern","Zimbabwe","Public",179.71,-0.687390192565276,8.99,0
"2017","Eastern","Zimbabwe","Residential",1718.81,0,-70.54,0
"2018","Eastern","Zimbabwe","Residential",0,-1,0,1
"2019","Eastern","Zimbabwe","Residential",438.85,0,26.33,0
"2020","Eastern","Zimbabwe","Residential",843.98,0.923162811894725,-23.66,1.89859475883023
"2017","Middle","Angola","Commercial",0,0,0,0
"2018","Middle","Angola","Commercial",737.95,0,-23.98,0
"2019","Middle","Angola","Commercial",1124.46,0.52376177247781,9.33,1.38907422852377
"2020","Middle","Angola","Commercial",878.19,-0.219011792326984,61.47,-5.58842443729903
"2017","Middle","Angola","Public",670.01,0,47.53,0
"2018","Middle","Angola","Public",624.65,-0.067700482082357,-39.62,1.83357879234168
"2019","Middle","Angola","Public",39.8,-0.936284319218763,-3.18,0.919737506309944
"2020","Middle","Angola","Public",398.18,9.00452261306533,-19.91,-5.26100628930818
"2017","Middle","Angola","Residential",781.45,0,76.29,0
"2018","Middle","Angola","Residential",0,-1,0,1
"2019","Middle","Angola","Residential",0,0,0,0
"2020","Middle","Angola","Residential",826.4,0,41.41,0
"2017","Middle","Cameroon","Commercial",52.91,0,2.12,0
"2018","Middle","Cameroon","Commercial",187.34,2.54072954072954,-3.75,2.7688679245283
"2019","Middle","Cameroon","Commercial",2162.02,10.5406213302018,-7.02,-0.872
"2020","Middle","Cameroon","Commercial",2501.39,0.15696894570818,78.75,12.2179487179487
"2017","Middle","Cameroon","Public",3886.82,0,63.06,0
"2018","Middle","Cameroon","Public",2269.81,-0.416023896141319,-13.25,1.21011734855693
"2019","Middle","Cameroon","Public",1550.11,-0.317074997466748,73.39,6.5388679245283
"2020","Middle","Cameroon","Public",1406.49,-0.0926514892491501,31.63,0.569014852159695
"2017","Middle","Cameroon","Residential",466.81,0,-23.34,0
"2018","Middle","Cameroon","Residential",542.43,0.161993102118635,-43.39,-0.859040274207369
"2019","Middle","Cameroon","Residential",977.32,0.801744003834596,58.64,2.35146347084582
"2020","Middle","Cameroon","Residential",537.87,-0.449648017026153,26.89,0.54143929058663
"2017","Middle","Central African Republic","Commercial",1425.38,0,55.6,0
"2018","Middle","Central African Republic","Commercial",0,-1,0,1
"2019","Middle","Central African Republic","Commercial",595.08,0,5.95,0
"2020","Middle","Central African Republic","Commercial",0,-1,0,1
"2017","Middle","Central African Republic","Public",76.46,0,3.82,0
"2018","Middle","Central African Republic","Public",669.9,7.76144389223123,33.5,-7.7696335078534
"2019","Middle","Central African Republic","Public",168.78,-0.748051948051948,-10.13,1.30238805970149
"2020","Middle","Central African Republic","Public",341.86,1.02547695224553,13.67,2.34945705824284
"2017","Middle","Central African Republic","Residential",363.3,0,7.27,0
"2018","Middle","Central African Republic","Residential",1597.7,3.39774291219378,-50.37,7.92847317744154
"2019","Middle","Central African Republic","Residential",1205.56,-0.245440320460662,93.62,2.85864601945603
"2020","Middle","Central African Republic","Residential",1706.68,0.415674043597996,-6.65,1.07103183080538
"2017","Middle","Chad","Commercial",1267.88,0,33.23,0
"2018","Middle","Chad","Commercial",668.57,-0.472686689592075,0,1
"2019","Middle","Chad","Commercial",0,-1,0,0
"2020","Middle","Chad","Commercial",0.89,0,0.03,0
"2017","Middle","Chad","Public",0,0,0,0
"2018","Middle","Chad","Public",1103.84,0,22.08,0
"2019","Middle","Chad","Public",320.68,-0.709486882156834,-17.72,1.80253623188406
"2020","Middle","Chad","Public",456.72,0.424223525009355,18.27,2.03103837471783
"2017","Middle","Chad","Residential",0,0,0,0
"2018","Middle","Chad","Residential",432.43,0,30.27,0
"2019","Middle","Chad","Residential",585.48,0.353930115856902,38.04,-0.256689791873142
"2020","Middle","Chad","Residential",445.43,-0.23920543827287,39.2,-0.0304942166140903
"2017","Middle","Congo","Commercial",789.45,0,-33.83,0
"2018","Middle","Congo","Commercial",1022.56,0.29528152511242,-6.55,0.80638486550399
"2019","Middle","Congo","Commercial",1495.35,0.462359176967611,91.73,15.0045801526718
"2020","Middle","Congo","Commercial",535.14,-0.642130604875113,-26.76,1.2917257167775
"2017","Middle","Congo","Public",0,0,0,0
"2018","Middle","Congo","Public",59.11,0,4.73,0
"2019","Middle","Congo","Public",0,-1,0,1
"2020","Middle","Congo","Public",340.78,0,-13.63,0
"2017","Middle","Congo","Residential",1675.54,0,10.59,0
"2018","Middle","Congo","Residential",983.19,-0.413210069589505,78.66,-6.42776203966005
"2019","Middle","Congo","Residential",641.22,-0.347816800414976,-6.41,1.081489956776
"2020","Middle","Congo","Residential",1162.14,0.812388883690465,-16.87,-1.63182527301092
"2017","Middle","Democratic Republic of the Congo","Commercial",3316.82,0,147.99,0
"2018","Middle","Democratic Republic of the Congo","Commercial",1545.94,-0.533908985112246,21.23,0.85654436110548
"2019","Middle","Democratic Republic of the Congo","Commercial",2549.84,0.649378371734996,76.61,-2.60857277437588
"2020","Middle","Democratic Republic of the Congo","Commercial",2955.7,0.159170771499388,-20.14,1.26288996214593
"2017","Middle","Democratic Republic of the Congo","Public",1822.22,0,-13.62,0
"2018","Middle","Democratic Republic of the Congo","Public",2705.73,0.484853640065415,-16.67,-0.223935389133627
"2019","Middle","Democratic Republic of the Congo","Public",1685.96,-0.376892742439194,81.85,5.91001799640072
"2020","Middle","Democratic Republic of the Congo","Public",524.52,-0.688889416119006,17.45,0.786805131337813
"2017","Middle","Democratic Republic of the Congo","Residential",717.11,0,-1.81,0
"2018","Middle","Democratic Republic of the Congo","Residential",1925.93,1.68568281016859,84.44,47.6519337016575
"2019","Middle","Democratic Republic of the Congo","Residential",1099.84,-0.428930438800995,-17.71,1.20973472288015
"2020","Middle","Democratic Republic of the Congo","Residential",2952.04,1.68406313645621,58.7,4.31451157538114
"2017","Middle","Equatorial Guinea","Commercial",2033.74,0,-10.18,0
"2018","Middle","Equatorial Guinea","Commercial",32.98,-0.983783571154622,-2.64,0.740667976424362
"2019","Middle","Equatorial Guinea","Commercial",497.89,14.0967252880534,9.96,4.77272727272727
"2020","Middle","Equatorial Guinea","Commercial",770.08,0.546687019221113,-29.85,3.99698795180723
"2017","Middle","Equatorial Guinea","Public",0,0,0,0
"2018","Middle","Equatorial Guinea","Public",1268.09,0,-10.31,0
"2019","Middle","Equatorial Guinea","Public",0,-1,0,1
"2020","Middle","Equatorial Guinea","Public",293.14,0,29.31,0
"2017","Middle","Equatorial Guinea","Residential",996.56,0,9.97,0
"2018","Middle","Equatorial Guinea","Residential",383.7,-0.614975515774263,23.02,-1.30892678034102
"2019","Middle","Equatorial Guinea","Residential",1657.44,3.31962470680219,70.71,-2.07167680278019
"2020","Middle","Equatorial Guinea","Residential",398.39,-0.759635341249155,-11.95,1.16900014142271
"2017","Middle","Gabon","Commercial",1934.54,0,-36.99,0
"2018","Middle","Gabon","Commercial",0,-1,0,1
"2019","Middle","Gabon","Commercial",1272.35,0,7.75,0
"2020","Middle","Gabon","Commercial",299.72,-0.764435886352026,-23.98,4.0941935483871
"2017","Middle","Gabon","Public",952.76,0,38.11,0
"2018","Middle","Gabon","Public",0,-1,0,1
"2019","Middle","Gabon","Public",817.45,0,81.74,0
"2020","Middle","Gabon","Public",367,-0.551042877240198,-16.26,1.19892341570834
"2017","Middle","Gabon","Residential",914.72,0,0,0
"2018","Middle","Gabon","Residential",1580.79,0.728168182613259,25.24,0
"2019","Middle","Gabon","Residential",0,-1,0,1
"2020","Middle","Gabon","Residential",963.17,0,-77.05,0
"2017","Middle","Sao Tome and Principe","Commercial",923.82,0,10.88,0
"2018","Middle","Sao Tome and Principe","Commercial",344,-0.627633088696932,10.32,0.051470588235294
"2019","Middle","Sao Tome and Principe","Commercial",1880.85,4.46758720930233,-14.88,2.44186046511628
"2020","Middle","Sao Tome and Principe","Commercial",330.17,-0.824457027407821,-23.11,-0.553091397849462
"2017","Middle","Sao Tome and Principe","Public",921.82,0,55.31,0
"2018","Middle","Sao Tome and Principe","Public",0,-1,0,1
"2019","Middle","Sao Tome and Principe","Public",246.07,0,-7.38,0
"2020","Middle","Sao Tome and Principe","Public",681.82,1.77083756654611,27.27,4.69512195121951
"2017","Middle","Sao Tome and Principe","Residential",0,0,0,0
"2018","Middle","Sao Tome and Principe","Residential",1477.23,0,-10,0
"2019","Middle","Sao Tome and Principe","Residential",888.09,-0.398813996466359,-62.17,-5.217
"2020","Middle","Sao Tome and Principe","Residential",931.34,0.0487000191422041,44.15,1.71014958983433
"2017","Northern","Algeria","Commercial",1575.74,0,2.08,0
"2018","Northern","Algeria","Commercial",1166.28,-0.259852513739576,69.54,-32.4326923076923
"2019","Northern","Algeria","Commercial",477.01,-0.590998731007991,-4.77,1.0685936151855
"2020","Northern","Algeria","Commercial",0,-1,0,1
"2017","Northern","Algeria","Public",0,0,0,0
"2018","Northern","Algeria","Public",902.45,0,-9.02,0
"2019","Northern","Algeria","Public",0,-1,0,1
"2020","Northern","Algeria","Public",695.64,0,8.61,0
"2017","Northern","Algeria","Residential",1292.01,0,-21.8,0
"2018","Northern","Algeria","Residential",0,-1,0,1
"2019","Northern","Algeria","Residential",704.65,0,34.69,0
"2020","Northern","Algeria","Residential",1528.15,1.16866529482722,-58.87,2.69703084462381
"2017","Northern","Egypt","Commercial",1438.52,0,66.82,0
"2018","Northern","Egypt","Commercial",0,-1,0,1
"2019","Northern","Egypt","Commercial",979.71,0,-20.63,0
"2020","Northern","Egypt","Commercial",506.78,-0.48272447969297,-10.14,0.508482792050412
"2017","Northern","Egypt","Public",0,0,0,0
"2018","Northern","Egypt","Public",120.75,0,1.21,0
"2019","Northern","Egypt","Public",435.44,2.60612836438923,21.77,-16.9917355371901
"2020","Northern","Egypt","Public",510.23,0.171757302957928,17.35,0.20303169499311
"2017","Northern","Egypt","Residential",1205.74,0,74.22,0
"2018","Northern","Egypt","Residential",1408.71,0.168336457279347,48.59,0.345324710320668
"2019","Northern","Egypt","Residential",485.04,-0.655684988393637,-38.8,1.7985182136242
"2020","Northern","Egypt","Residential",303.03,-0.375247402276101,-18.18,0.531443298969072
"2017","Northern","Libya","Commercial",258.25,0,-15.5,0
"2018","Northern","Libya","Commercial",0,-1,0,1
"2019","Northern","Libya","Commercial",631.19,0,-23.96,0
"2020","Northern","Libya","Commercial",218.66,-0.653574993266687,-3.04,0.873121869782972
"2017","Northern","Libya","Public",587.33,0,-5.87,0
"2018","Northern","Libya","Public",1164.18,0.982156538913388,38.36,7.53492333901192
"2019","Northern","Libya","Public",434.16,-0.627067979178477,17.37,0.54718456725756
"2020","Northern","Libya","Public",0,-1,0,1
"2017","Northern","Libya","Residential",1467.55,0,61.54,0
"2018","Northern","Libya","Residential",740.66,-0.495308507376239,74.07,-0.203607409814754
"2019","Northern","Libya","Residential",807.85,0.0907163880863015,32.31,0.563791008505468
"2020","Northern","Libya","Residential",515.59,-0.361775082007798,17.17,0.468585577220675
"2017","Northern","Morocco","Commercial",703.93,0,-35.2,0
"2018","Northern","Morocco","Commercial",43.55,-0.938133053002429,2.61,1.07414772727273
"2019","Northern","Morocco","Commercial",252.03,4.78714121699196,-3.92,2.50191570881226
"2020","Northern","Morocco","Commercial",184.49,-0.267983970162282,-7.38,-0.88265306122449
"2017","Northern","Morocco","Public",1074.02,0,53.45,0
"2018","Northern","Morocco","Public",483.2,-0.55010148786801,39.4,0.262862488306829
"2019","Northern","Morocco","Public",1126.85,1.3320571192053,28.31,0.281472081218274
"2020","Northern","Morocco","Public",1253.36,0.112268713670853,-59.73,3.10985517484988
"2017","Northern","Morocco","Residential",855.42,0,51.33,0
"2018","Northern","Morocco","Residential",0,-1,0,1
"2019","Northern","Morocco","Residential",0,0,0,0
"2020","Northern","Morocco","Residential",0,0,0,0
"2017","Northern","Sudan","Commercial",541.59,0,43.33,0
"2018","Northern","Sudan","Commercial",1530.16,1.82531065935486,8.83,0.796215093468728
"2019","Northern","Sudan","Commercial",0,-1,0,1
"2020","Northern","Sudan","Commercial",1040.41,0,-20.58,0
"2017","Northern","Sudan","Public",813.04,0,-31.17,0
"2018","Northern","Sudan","Public",1612.16,0.982879071140411,-31,0.00545396214308624
"2019","Northern","Sudan","Public",1132.55,-0.297495285827709,52.85,2.70483870967742
"2020","Northern","Sudan","Public",2834.11,1.50241490441923,36.14,0.316177861873226
"2017","Northern","Sudan","Residential",1847.74,0,82.66,0
"2018","Northern","Sudan","Residential",2042.15,0.105215019429141,65.54,0.207113476893298
"2019","Northern","Sudan","Residential",2802.3,0.372230247533237,-13.33,1.20338724443088
"2020","Northern","Sudan","Residential",816.28,-0.70871070192342,40.81,4.06151537884471
"2017","Northern","Tunisia","Commercial",1707.93,0,-3.18,0
"2018","Northern","Tunisia","Commercial",403.54,-0.763725679623872,36.32,12.4213836477987
"2019","Northern","Tunisia","Commercial",1240.35,2.07367299400307,57.53,-0.58397577092511
"2020","Northern","Tunisia","Commercial",994,-0.198613294634579,-1.29,1.02242308360855
"2017","Northern","Tunisia","Public",701.35,0,56.11,0
"2018","Northern","Tunisia","Public",0,-1,0,1
"2019","Northern","Tunisia","Public",295.13,0,26.62,0
"2020","Northern","Tunisia","Public",0,-1,0,1
"2017","Northern","Tunisia","Residential",0,0,0,0
