"地区","国家","服务分类","销售额预测","利润预测"
"Northern","Egypt","Commercial",60.9377,0
"Northern","Egypt","Public",22.2171,0
"Northern","Egypt","Residential",70.8858,0
"Northern","Libya","Commercial",23.0854,0
"Northern","Libya","Public",31.986,1.0387
"Northern","Libya","Residential",63.6723,6.8559
"Northern","Morocco","Commercial",24.6667,0
"Northern","Morocco","Public",82.0298,-24.7932
"Northern","Morocco","Residential",0,0
"Northern","Sudan","Commercial",64.8367,0
"Northern","Sudan","Public",133.1638,0
"Northern","Sudan","Residential",156.4265,0.5609
"Northern","Tunisia","Commercial",90.5379,0
"Northern","Tunisia","Public",0,0
"Northern","Tunisia","Residential",45.1304,2.5658
"Northern","Western Sahara","Commercial",52.4398,3.3581
"Northern","Western Sahara","Public",53.6415,2.7627
"Northern","Western Sahara","Residential",43.0935,0
"Southern","Botswana","Commercial",14.7047,4.406
"Southern","Botswana","Public",41.0929,0
"Southern","Botswana","Residential",51.264,0
"Southern","Lesotho","Commercial",78.1998,3.6031
"Southern","Lesotho","Public",42.6302,0
"Southern","Lesotho","Residential",33.7194,0
"Southern","Namibia","Commercial",41.4477,0
"Southern","Namibia","Public",50.0079,0
"Southern","Namibia","Residential",94.0748,0
"Southern","South Africa","Commercial",252.5671,-14.7674
"Southern","South Africa","Public",173.9508,5.9092
"Southern","South Africa","Residential",338.0723,0
"Southern","Swaziland","Commercial",0,0
"Southern","Swaziland","Public",16.2638,0
"Southern","Swaziland","Residential",107.6047,-6.7858
"Western","Benin","Commercial",344.6577,0
"Western","Benin","Public",74.2379,0
"Western","Benin","Residential",120.3792,3.8898
"Western","Burkina Faso","Commercial",60.696,0
"Western","Burkina Faso","Public",112.3263,0
"Western","Burkina Faso","Residential",0,0
"Western","Cote d'Ivoire","Commercial",168.6987,0
"Western","Cote d'Ivoire","Public",73.4556,0
"Western","Cote d'Ivoire","Residential",106.4948,0
"Western","Ghana","Commercial",87.8079,2.3584
"Western","Ghana","Public",113.0715,6.2915
"Western","Ghana","Residential",120.3823,0
"Western","Guinea","Commercial",48.1298,0
"Western","Guinea","Public",85.1021,0
"Western","Guinea","Residential",0,0
"Western","Guinea-Bissau","Commercial",68.889,0
"Western","Guinea-Bissau","Public",46.0802,0
"Western","Guinea-Bissau","Residential",4.1162,0.0067
"Western","Liberia","Commercial",23.3654,-0.5304
"Western","Liberia","Public",32.1267,0
"Western","Liberia","Residential",537.0012,-6.5856
"Western","Mali","Commercial",65.1917,0
"Western","Mali","Public",9.0427,0
"Western","Mali","Residential",55.6104,0
"Western","Mauritania","Commercial",71.3821,0.0058
"Western","Mauritania","Public",60.4215,0
"Western","Mauritania","Residential",57.2092,0
"Western","Niger","Commercial",85.1823,-1.7677
"Western","Niger","Public",66.9817,-2.9094
"Western","Niger","Residential",47.485,0
"Western","Nigeria","Commercial",100.5339,0
"Western","Nigeria","Public",503.0947,0
"Western","Nigeria","Residential",199.8775,0
"Western","Senegal","Commercial",68.0269,0
"Western","Senegal","Public",29.3054,0
"Western","Senegal","Residential",16.0546,0
"Western","Sierra Leone","Commercial",61.9704,0
"Western","Sierra Leone","Public",50.4977,0
"Western","Sierra Leone","Residential",35.3054,0
"Western","Togo","Commercial",50.1715,0
"Western","Togo","Public",52.0446,-1.6796
"Western","Togo","Residential",37.1331,0
